twotheta, intensity, esd
25.077, 384.214527774, 19.4029645444
25.078, 379.583572965, 19.292569242
25.079, 409.661918321, 20.0581516984
25.08, 406.160770381, 19.9586713942
25.081, 406.399832967, 19.9463362891
25.082, 353.854569913, 18.6214504167
25.083, 383.593927462, 19.3963872363
25.084, 407.647277193, 19.9834921901
25.085, 384.836039031, 19.4096025435
25.086, 379.518055332, 19.2892392679
25.087, 383.220538913, 19.402341078
25.088, 370.305102415, 19.04378965
25.089, 399.594205002, 19.8041825148
25.09, 372.764063194, 19.1197187012
25.091, 385.080773107, 19.421945959
25.092, 365.366167808, 18.915346137
25.093, 386.262832213, 19.4568186626
25.094, 365.680410866, 18.9316147922
25.095, 411.265611225, 20.0646050952
25.096, 382.736502218, 19.3778344452
25.097, 401.814701408, 19.8412193266
25.098, 392.424996617, 19.6183613703
25.099, 364.320917036, 18.9375635316
